06041030;24,44
06041025;20,45
06041020;19,76
03340020;185,26
03340010;125,40
03340001;80,94
03320010;34,19
03320001;29,25
03312030;67,21
03310001;10,53
03300010;62,08
03300005;38,94
03250100;65,05
03250010;13,20
03250001;13,20
03240001;5,27
03145010;361,40
03144010;640,12
03143001;108,81
03142010;179,14
03142001;85,48
03141020;131,50
03141010;97,18
03141001;69,10
03140080;266,76
03140070;172,25
03140060;160,68
03140050;132,05
03140040;108,23
03140020;78,78
03140001;58,05
03130020;98,48
03130010;43,62
03130001;31,79
03110005;145,86
03110001;40,69
03100010;46,67
03100001;24,57
03042010;41,47
03040010;40,89
03040001;26,72
03030010;19,57
03020020;13,85
03020010;10,08
03010010;67,47
03001001;471,45
02310120;106,93
02310110;106,93
02310100;106,93
02310010;51,09
02302060;87,62
02302055;87,62
02302050;87,62
02302045;87,62
02302040;87,62
02302035;87,62
02302030;87,62
02302025;87,62
02302020;87,62
02302015;87,62
02302010;87,62
02300060;87,62
02300055;87,62
02300050;87,62
02300045;87,62
02300040;87,62
02300035;87,62
02300030;87,62
02300025;87,62
02300020;87,62
02300015;87,62
02300010;87,62
02120010;13,98
02110001;17,49
02040630;232,51
02040620;232,51
02040610;232,51
02040110;194,48
02040100;194,48
02040030;49,34
02040020;147,62
02040001;84,83
02020054;35,36
02020052;35,36
02020050;35,36
02020034;46,37
02020032;46,37
02020030;46,37
02020028;46,37
02020026;46,37
02020024;46,37
02020022;46,37
02020020;46,37
02020018;46,37
02020016;46,37
02001010;24,18
02001005;19,63
02001001;8,06
01110010;2,95
01110001;8,40
01101001;7,18
01100001;7,18
01010010;5,33
01010001;17,74
01004030;16,25
01004020;14,59
01004001;12,99
01002001;10,47
01001100;7,74
01001020;3,11